file,bug_type,language,complexity_level,imports_count,includes_count,null_checks,pointer_ops,brace_depth,py_max_indent,api_calls,loop_complexity,array_access,thread_ops,sync_ops,error_handling,resource_ops,nested_conditions,loc,v(g),branchCount,uniq_Op,total_Op,total_Opnd
synthetic_0000.py,logic_error,.py,medium,0,0,0,False,0,12,0,0,False,False,False,0,False,0,138,3.22,13,6,138,69
synthetic_0001.java,logic_error,.java,high,0,0,0,False,3,0,0,0,False,0,0,1,False,1,183,9.22,30,15,183,91
synthetic_0002.cpp,off_by_one,.cpp,very_high,0,2,0,False,3,0,4,1,True,False,False,1,0,0,495,23.36,39,19,495,247
synthetic_0003.java,api_misuse,.java,low,0,0,0,False,2,0,2,0,False,0,0,1,False,0,49,1.76,5,2,49,24
synthetic_0004.cpp,memory_leak,.cpp,high,0,2,0,True,1,0,5,0,False,False,False,0,1,0,291,9.37,25,12,291,145
synthetic_0005.c,memory_leak,.c,low,0,2,0,True,1,0,5,0,False,False,False,0,1,0,31,2.42,4,2,31,15
synthetic_0006.c,memory_leak,.c,high,0,2,0,True,1,0,5,0,False,False,False,0,1,0,171,9.65,27,13,171,85
synthetic_0007.cpp,race_condition,.cpp,medium,0,2,0,False,0,0,0,0,False,False,False,0,0,0,101,7.25,15,7,101,50
synthetic_0008.cpp,resource_exhaustion,.cpp,medium,0,2,0,False,0,0,0,0,False,False,False,0,0,0,96,6.94,5,2,96,48
synthetic_0009.py,resource_exhaustion,.py,medium,0,0,0,False,0,16,0,1,True,False,False,0,False,0,99,4.9,15,7,99,49
synthetic_0010.c,logic_error,.c,medium,0,2,0,False,0,0,0,0,False,False,False,0,0,0,96,5.15,6,3,96,48
synthetic_0011.java,null_pointer,.java,very_high,0,0,0,True,3,0,2,0,False,0,0,1,False,0,368,18.43,49,24,368,184
synthetic_0012.cpp,resource_exhaustion,.cpp,medium,0,2,0,False,0,0,0,0,False,False,False,0,0,0,99,3.03,12,6,99,49
synthetic_0013.cpp,resource_exhaustion,.cpp,high,0,2,0,False,0,0,0,0,False,False,False,0,0,0,283,14.21,21,10,283,141
synthetic_0014.cpp,resource_exhaustion,.cpp,very_high,0,2,0,False,0,0,0,0,False,False,False,0,0,0,326,18.66,38,19,326,163
synthetic_0015.cpp,resource_exhaustion,.cpp,high,0,2,0,False,0,0,0,0,False,False,False,0,0,0,239,11.52,22,11,239,119
synthetic_0016.java,api_misuse,.java,low,0,0,0,False,2,0,2,0,False,0,0,1,False,0,47,2.43,2,1,47,23
synthetic_0017.java,null_pointer,.java,medium,0,0,0,True,3,0,2,0,False,0,0,1,False,0,87,5.94,7,3,87,43
synthetic_0018.cpp,race_condition,.cpp,very_high,0,2,0,False,0,0,0,0,False,False,False,0,0,0,391,24.84,32,16,391,195
synthetic_0019.c,null_pointer,.c,medium,0,2,0,True,2,0,3,0,False,False,False,1,0,0,122,4.44,15,7,122,61
synthetic_0020.java,memory_leak,.java,medium,0,0,0,True,1,0,0,0,False,0,0,0,False,0,89,4.64,10,5,89,44
synthetic_0021.cpp,resource_exhaustion,.cpp,high,0,2,0,False,0,0,0,0,False,False,False,0,0,0,183,13.29,19,9,183,91
synthetic_0022.java,api_misuse,.java,high,0,0,0,False,2,0,2,0,False,0,0,1,False,0,262,12.72,28,14,262,131
synthetic_0023.java,logic_error,.java,medium,0,0,0,False,3,0,0,0,False,0,0,1,False,1,55,6.74,9,4,55,27
